Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
N [synthetic construct] [synthetic construct],synthetic construct,synthetic construct,32630,53.7,53.7,100%,5e-07,100.00,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIG55861.1?report=genbank&log$=prottop&blast_rank=1&RID=WF75DNHA016"",""QIG55861.1"")"
nucleocapsid protein [recombinant SARS coronavirus],recombinant SARS coronavirus,recombinant SARS coronavirus,575560,51.1,51.1,100%,4e-06,93.33,422,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60689.1?report=genbank&log$=prottop&blast_rank=2&RID=WF75DNHA016"",""ACJ60689.1"")"
nucleocapsid protein [recombinant coronavirus],recombinant coronavirus,recombinant coronavirus,575864,51.1,51.1,100%,4e-06,93.33,421,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60701.1?report=genbank&log$=prottop&blast_rank=3&RID=WF75DNHA016"",""ACJ60701.1"")"
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD [Heliorestis convoluta],Heliorestis convoluta,Heliorestis convoluta,356322,33.7,33.7,66%,5.3,90.00,472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_153724930.1?report=genbank&log$=prottop&blast_rank=4&RID=WF75DNHA016"",""WP_153724930.1"")"
hypothetical protein [Algoriphagus locisalis],Algoriphagus locisalis,Algoriphagus locisalis,305507,32.5,32.5,93%,15,60.00,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_091691986.1?report=genbank&log$=prottop&blast_rank=5&RID=WF75DNHA016"",""WP_091691986.1"")"
hypothetical protein C2G38_2235217 [Gigaspora rosea],Gigaspora rosea,Gigaspora rosea,44941,32.0,32.0,86%,21,69.23,619,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RIB00190.1?report=genbank&log$=prottop&blast_rank=6&RID=WF75DNHA016"",""RIB00190.1"")"
hypothetical protein C2G38_1120588 [Gigaspora rosea],Gigaspora rosea,Gigaspora rosea,44941,32.0,32.0,86%,21,69.23,618,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RIB00725.1?report=genbank&log$=prottop&blast_rank=7&RID=WF75DNHA016"",""RIB00725.1"")"
hsp70 family protein [Gigaspora margarita],Gigaspora margarita,Gigaspora margarita,4874,32.0,32.0,86%,21,69.23,486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF0437569.1?report=genbank&log$=prottop&blast_rank=8&RID=WF75DNHA016"",""KAF0437569.1"")"
Multiple coagulation factor deficiency protein 2-like protein [Temnothorax longispinosus],Temnothorax longispinosus,Temnothorax longispinosus,300112,32.0,32.0,80%,21,83.33,389,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TGZ32206.1?report=genbank&log$=prottop&blast_rank=9&RID=WF75DNHA016"",""TGZ32206.1"")"
"33 kDa inner dynein arm light chain, axonemal, putative [Trypanosoma cruzi marinkellei]",Trypanosoma cruzi marinkellei,Trypanosoma cruzi marinkellei,85056,32.0,32.0,86%,21,58.82,365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EKF27673.1?report=genbank&log$=prottop&blast_rank=10&RID=WF75DNHA016"",""EKF27673.1"")"
hypothetical protein [Novosphingobium sp. CF614],Novosphingobium sp. CF614,Novosphingobium sp. CF614,1884364,32.0,32.0,80%,21,75.00,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_091147310.1?report=genbank&log$=prottop&blast_rank=11&RID=WF75DNHA016"",""WP_091147310.1"")"
hypothetical protein ETSY2_50020 [Candidatus Entotheonella gemina],Candidatus Entotheonella gemina,Candidatus Entotheonella gemina,1429439,32.0,32.0,100%,21,57.89,285,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ETW94284.1?report=genbank&log$=prottop&blast_rank=12&RID=WF75DNHA016"",""ETW94284.1"")"
DUF4231 domain-containing protein [Candidatus Entotheonella palauensis],Candidatus Entotheonella palauensis,Candidatus Entotheonella palauensis,93172,32.0,32.0,100%,21,57.89,282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_143310249.1?report=genbank&log$=prottop&blast_rank=13&RID=WF75DNHA016"",""WP_143310249.1"")"
hypothetical protein T310_3105 [Rasamsonia emersonii CBS 393.64],Rasamsonia emersonii CBS 393.64,Rasamsonia emersonii CBS 393.64,1408163,31.6,31.6,80%,30,75.00,1614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013329500.1?report=genbank&log$=prottop&blast_rank=14&RID=WF75DNHA016"",""XP_013329500.1"")"
glycosyltransferase [Aquincola sp.],Aquincola sp.,Aquincola sp.,1872589,31.6,31.6,86%,30,66.67,420,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NJN00144.1?report=genbank&log$=prottop&blast_rank=15&RID=WF75DNHA016"",""NJN00144.1"")"
asparaginase [Acidobacteria bacterium],Acidobacteria bacterium,Acidobacteria bacterium,1978231,31.6,31.6,80%,30,75.00,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MYN68034.1?report=genbank&log$=prottop&blast_rank=16&RID=WF75DNHA016"",""MYN68034.1"")"
asparaginase [Acidobacteria bacterium],Acidobacteria bacterium,Acidobacteria bacterium,1978231,31.6,31.6,80%,30,75.00,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MYH31307.1?report=genbank&log$=prottop&blast_rank=17&RID=WF75DNHA016"",""MYH31307.1"")"
asparaginase [Acidobacteria bacterium],Acidobacteria bacterium,Acidobacteria bacterium,1978231,31.6,31.6,80%,30,75.00,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MYD85038.1?report=genbank&log$=prottop&blast_rank=18&RID=WF75DNHA016"",""MYD85038.1"")"
TonB-dependent receptor [Sphingobium sp. EM0848],Sphingobium sp. EM0848,Sphingobium sp. EM0848,2743473,31.2,31.2,53%,43,100.00,806,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_176593104.1?report=genbank&log$=prottop&blast_rank=19&RID=WF75DNHA016"",""WP_176593104.1"")"
TonB-dependent receptor [Sphingobium sp.],Sphingobium sp.,Sphingobium sp.,1912891,31.2,31.2,53%,43,100.00,806,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PZU12146.1?report=genbank&log$=prottop&blast_rank=20&RID=WF75DNHA016"",""PZU12146.1"")"
TonB-dependent receptor [Sphingobium sp. 15-1],Sphingobium sp. 15-1,Sphingobium sp. 15-1,2729616,31.2,31.2,53%,43,100.00,806,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_176598995.1?report=genbank&log$=prottop&blast_rank=21&RID=WF75DNHA016"",""WP_176598995.1"")"
coenzyme F420-reducing hydrogenase subunit beta [Planctomycetes bacterium KOR34],Planctomycetes bacterium KOR34,Planctomycetes bacterium KOR34,1938618,31.2,31.2,53%,43,100.00,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TWT36715.1?report=genbank&log$=prottop&blast_rank=22&RID=WF75DNHA016"",""TWT36715.1"")"
flagellar filament capping protein FliD [Bacteroidetes bacterium],Bacteroidetes bacterium,Bacteroidetes bacterium,1898104,31.2,31.2,93%,43,71.43,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NBC02027.1?report=genbank&log$=prottop&blast_rank=23&RID=WF75DNHA016"",""NBC02027.1"")"
Uncharacterized protein CELE_F32B5.1 [Caenorhabditis elegans],Caenorhabditis elegans,Caenorhabditis elegans,6239,31.2,31.2,66%,43,80.00,427,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_491027.1?report=genbank&log$=prottop&blast_rank=24&RID=WF75DNHA016"",""NP_491027.1"")"
RNA polymerase subunit sigma-24 [Verrucomicrobiales bacterium],Verrucomicrobiales bacterium,Verrucomicrobiales bacterium,2026801,31.2,31.2,93%,43,71.43,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBL67496.1?report=genbank&log$=prottop&blast_rank=25&RID=WF75DNHA016"",""MBL67496.1"")"
