Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ORF1ab [synthetic construct],synthetic construct,synthetic construct,32630,52.8,52.8,100%,9e-07,100.00,7096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIG55856.1?report=genbank&log$=prottop&blast_rank=1&RID=WF777JMR016"",""QIG55856.1"")"
ORF1a polyprotein [synthetic construct],synthetic construct,synthetic construct,32630,52.8,52.8,100%,9e-07,100.00,4405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJS57326.1?report=genbank&log$=prottop&blast_rank=2&RID=WF777JMR016"",""QJS57326.1"")"
polyprotein [recombinant SARS coronavirus],recombinant SARS coronavirus,recombinant SARS coronavirus,575560,50.7,50.7,100%,5e-06,93.33,7073,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60680.1?report=genbank&log$=prottop&blast_rank=3&RID=WF777JMR016"",""ACJ60680.1"")"
replicase polyprotein 1A [recombinant coronavirus],recombinant coronavirus,recombinant coronavirus,575864,50.7,50.7,100%,5e-06,93.33,4376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60693.1?report=genbank&log$=prottop&blast_rank=4&RID=WF777JMR016"",""ACJ60693.1"")"
multidrug efflux MFS transporter [Gammaproteobacteria bacterium],Gammaproteobacteria bacterium,Gammaproteobacteria bacterium,1913989,35.8,35.8,93%,0.94,78.57,399,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TLY48683.1?report=genbank&log$=prottop&blast_rank=5&RID=WF777JMR016"",""TLY48683.1"")"
adenosylcobinamide-GDP ribazoletransferase [Clostridiales bacterium],Clostridiales bacterium,Clostridiales bacterium,1898207,35.0,35.0,93%,1.9,78.57,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLU23975.1?report=genbank&log$=prottop&blast_rank=6&RID=WF777JMR016"",""NLU23975.1"")"
TPA: hypothetical protein [Brevibacillus sp.],Brevibacillus sp.,Brevibacillus sp.,1882945,33.7,33.7,86%,5.3,52.38,344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBZ83527.1?report=genbank&log$=prottop&blast_rank=7&RID=WF777JMR016"",""HBZ83527.1"")"
MULTISPECIES: helix-turn-helix domain-containing protein [Brevibacillus],Brevibacillus,Brevibacillus,55080,33.7,33.7,86%,5.3,52.38,344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_122965651.1?report=genbank&log$=prottop&blast_rank=8&RID=WF777JMR016"",""WP_122965651.1"")"
helix-turn-helix domain-containing protein [Brevibacillus parabrevis],Brevibacillus parabrevis,Brevibacillus parabrevis,54914,33.7,33.7,86%,5.3,52.38,344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_063227740.1?report=genbank&log$=prottop&blast_rank=9&RID=WF777JMR016"",""WP_063227740.1"")"
helix-turn-helix domain-containing protein [Brevibacillus sp. HD1.4A],Brevibacillus sp. HD1.4A,Brevibacillus sp. HD1.4A,2738978,33.7,33.7,86%,5.3,52.38,344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_173595589.1?report=genbank&log$=prottop&blast_rank=10&RID=WF777JMR016"",""WP_173595589.1"")"
MFS transporter [Agromyces sp. OV568],Agromyces sp. OV568,Agromyces sp. OV568,2135465,32.9,32.9,93%,11,60.00,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_115961745.1?report=genbank&log$=prottop&blast_rank=11&RID=WF777JMR016"",""WP_115961745.1"")"
MFS transporter [Agromyces fucosus],Agromyces fucosus,Agromyces fucosus,41985,32.9,32.9,93%,11,60.00,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_129232468.1?report=genbank&log$=prottop&blast_rank=12&RID=WF777JMR016"",""WP_129232468.1"")"
hypothetical protein [Fluoribacter bozemanae],Fluoribacter bozemanae,Fluoribacter bozemanae,447,32.5,32.5,80%,15,71.43,266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_058460607.1?report=genbank&log$=prottop&blast_rank=13&RID=WF777JMR016"",""WP_058460607.1"")"
MULTISPECIES: hypothetical protein [Legionellaceae],Legionellaceae,Legionellaceae,444,32.5,32.5,80%,15,71.43,266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_019350390.1?report=genbank&log$=prottop&blast_rank=14&RID=WF777JMR016"",""WP_019350390.1"")"
hypothetical protein P879_04962 [Paragonimus westermani],Paragonimus westermani,Paragonimus westermani,34504,32.0,32.0,93%,21,80.00,1962,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF8567920.1?report=genbank&log$=prottop&blast_rank=15&RID=WF777JMR016"",""KAF8567920.1"")"
PREDICTED: protein sel-1 homolog 1 [Stomoxys calcitrans],Stomoxys calcitrans,stable fly,35570,32.0,32.0,66%,21,90.00,838,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013116479.1?report=genbank&log$=prottop&blast_rank=16&RID=WF777JMR016"",""XP_013116479.1"")"
MFS transporter [Candidatus Rickettsiella isopodorum],Candidatus Rickettsiella isopodorum,Candidatus Rickettsiella isopodorum,1225476,32.0,32.0,53%,21,100.00,398,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_084028758.1?report=genbank&log$=prottop&blast_rank=17&RID=WF777JMR016"",""WP_084028758.1"")"
high frequency lysogenization protein HflD [Alphaproteobacteria bacterium],Alphaproteobacteria bacterium,Alphaproteobacteria bacterium,1913988,32.0,32.0,86%,21,64.71,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TDI57723.1?report=genbank&log$=prottop&blast_rank=18&RID=WF777JMR016"",""TDI57723.1"")"
hypothetical protein [Leifsonia shinshuensis],Leifsonia shinshuensis,Leifsonia shinshuensis,150026,32.0,32.0,86%,22,69.23,66,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_179607247.1?report=genbank&log$=prottop&blast_rank=19&RID=WF777JMR016"",""WP_179607247.1"")"
hypothetical protein [Leifsonia shinshuensis],Leifsonia shinshuensis,Leifsonia shinshuensis,150026,32.0,32.0,86%,22,69.23,66,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_185278082.1?report=genbank&log$=prottop&blast_rank=20&RID=WF777JMR016"",""WP_185278082.1"")"
hypothetical protein [Firmicutes bacterium],Firmicutes bacterium,Firmicutes bacterium,1879010,31.6,31.6,93%,30,71.43,542,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE3557348.1?report=genbank&log$=prottop&blast_rank=21&RID=WF777JMR016"",""MBE3557348.1"")"
hypothetical protein [Collimonas pratensis],Collimonas pratensis,Collimonas pratensis,279113,31.6,31.6,93%,30,71.43,164,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_150119637.1?report=genbank&log$=prottop&blast_rank=22&RID=WF777JMR016"",""WP_150119637.1"")"
