Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ORF1ab [synthetic construct],synthetic construct,synthetic construct,32630,53.7,53.7,100%,5e-07,100.00,7096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIG55856.1?report=genbank&log$=prottop&blast_rank=1&RID=WF700SC301R"",""QIG55856.1"")"
polyprotein [recombinant SARS coronavirus],recombinant SARS coronavirus,recombinant SARS coronavirus,575560,53.7,53.7,100%,5e-07,100.00,7073,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60680.1?report=genbank&log$=prottop&blast_rank=2&RID=WF700SC301R"",""ACJ60680.1"")"
ORF1a polyprotein [synthetic construct],synthetic construct,synthetic construct,32630,53.7,53.7,100%,5e-07,100.00,4405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJS57326.1?report=genbank&log$=prottop&blast_rank=3&RID=WF700SC301R"",""QJS57326.1"")"
replicase polyprotein 1A [recombinant coronavirus],recombinant coronavirus,recombinant coronavirus,575864,53.7,53.7,100%,5e-07,100.00,4376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60693.1?report=genbank&log$=prottop&blast_rank=4&RID=WF700SC301R"",""ACJ60693.1"")"
hypothetical protein [Clostridium sp. FP2],Clostridium sp. FP2,Clostridium sp. FP2,2724481,33.3,33.3,100%,7.5,73.33,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_164950238.1?report=genbank&log$=prottop&blast_rank=5&RID=WF700SC301R"",""WP_164950238.1"")"
hypothetical protein [Clostridium sp. FP1],Clostridium sp. FP1,Clostridium sp. FP1,2724076,33.3,33.3,100%,7.5,73.33,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_164943892.1?report=genbank&log$=prottop&blast_rank=6&RID=WF700SC301R"",""WP_164943892.1"")"
hypothetical protein [Clostridium tagluense],Clostridium tagluense,Clostridium tagluense,360422,33.3,33.3,100%,7.5,73.33,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_124999223.1?report=genbank&log$=prottop&blast_rank=7&RID=WF700SC301R"",""WP_124999223.1"")"
choice-of-anchor A family protein [Hahella chejuensis],Hahella chejuensis,Hahella chejuensis,158327,32.9,32.9,66%,11,90.00,3976,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011395975.1?report=genbank&log$=prottop&blast_rank=8&RID=WF700SC301R"",""WP_011395975.1"")"
Rhs family protein [Hahella chejuensis KCTC 2396],Hahella chejuensis KCTC 2396,Hahella chejuensis KCTC 2396,349521,32.9,32.9,66%,11,90.00,3862,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABC32301.1?report=genbank&log$=prottop&blast_rank=9&RID=WF700SC301R"",""ABC32301.1"")"
WecB/TagA/CpsF family glycosyltransferase [Kosmotoga olearia],Kosmotoga olearia,Kosmotoga olearia,651457,32.5,32.5,93%,15,64.71,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015869364.1?report=genbank&log$=prottop&blast_rank=10&RID=WF700SC301R"",""WP_015869364.1"")"
