Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
N [synthetic construct] [synthetic construct],synthetic construct,synthetic construct,32630,53.7,53.7,100%,5e-07,100.00,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIG55861.1?report=genbank&log$=prottop&blast_rank=1&RID=WEBZDD7A016"",""QIG55861.1"")"
nucleocapsid protein [recombinant SARS coronavirus],recombinant SARS coronavirus,recombinant SARS coronavirus,575560,51.1,51.1,100%,4e-06,93.33,422,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60689.1?report=genbank&log$=prottop&blast_rank=2&RID=WEBZDD7A016"",""ACJ60689.1"")"
nucleocapsid protein [recombinant coronavirus],recombinant coronavirus,recombinant coronavirus,575864,51.1,51.1,100%,4e-06,93.33,421,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60701.1?report=genbank&log$=prottop&blast_rank=3&RID=WEBZDD7A016"",""ACJ60701.1"")"
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD [Heliorestis convoluta],Heliorestis convoluta,Heliorestis convoluta,356322,33.7,33.7,66%,5.3,90.00,472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_153724930.1?report=genbank&log$=prottop&blast_rank=4&RID=WEBZDD7A016"",""WP_153724930.1"")"
hypothetical protein [Algoriphagus locisalis],Algoriphagus locisalis,Algoriphagus locisalis,305507,32.5,32.5,93%,15,60.00,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_091691986.1?report=genbank&log$=prottop&blast_rank=5&RID=WEBZDD7A016"",""WP_091691986.1"")"
hypothetical protein C2G38_2235217 [Gigaspora rosea],Gigaspora rosea,Gigaspora rosea,44941,32.0,64.1,86%,21,69.23,619,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RIB00190.1?report=genbank&log$=prottop&blast_rank=6&RID=WEBZDD7A016"",""RIB00190.1"")"
hypothetical protein C2G38_1120588 [Gigaspora rosea],Gigaspora rosea,Gigaspora rosea,44941,32.0,32.0,86%,21,69.23,618,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RIB00725.1?report=genbank&log$=prottop&blast_rank=7&RID=WEBZDD7A016"",""RIB00725.1"")"
hsp70 family protein [Gigaspora margarita],Gigaspora margarita,Gigaspora margarita,4874,32.0,32.0,86%,21,69.23,486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF0437569.1?report=genbank&log$=prottop&blast_rank=8&RID=WEBZDD7A016"",""KAF0437569.1"")"
Multiple coagulation factor deficiency protein 2-like protein [Temnothorax longispinosus],Temnothorax longispinosus,Temnothorax longispinosus,300112,32.0,32.0,80%,21,83.33,389,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TGZ32206.1?report=genbank&log$=prottop&blast_rank=9&RID=WEBZDD7A016"",""TGZ32206.1"")"
"33 kDa inner dynein arm light chain, axonemal, putative [Trypanosoma cruzi marinkellei]",Trypanosoma cruzi marinkellei,Trypanosoma cruzi marinkellei,85056,32.0,32.0,86%,21,58.82,365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EKF27673.1?report=genbank&log$=prottop&blast_rank=10&RID=WEBZDD7A016"",""EKF27673.1"")"
hypothetical protein [Novosphingobium sp. CF614],Novosphingobium sp. CF614,Novosphingobium sp. CF614,1884364,32.0,32.0,80%,21,75.00,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_091147310.1?report=genbank&log$=prottop&blast_rank=11&RID=WEBZDD7A016"",""WP_091147310.1"")"
hypothetical protein ETSY2_50020 [Candidatus Entotheonella gemina],Candidatus Entotheonella gemina,Candidatus Entotheonella gemina,1429439,32.0,32.0,100%,21,57.89,285,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ETW94284.1?report=genbank&log$=prottop&blast_rank=12&RID=WEBZDD7A016"",""ETW94284.1"")"
DUF4231 domain-containing protein [Candidatus Entotheonella palauensis],Candidatus Entotheonella palauensis,Candidatus Entotheonella palauensis,93172,32.0,32.0,100%,21,57.89,282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_143310249.1?report=genbank&log$=prottop&blast_rank=13&RID=WEBZDD7A016"",""WP_143310249.1"")"
hypothetical protein T310_3105 [Rasamsonia emersonii CBS 393.64],Rasamsonia emersonii CBS 393.64,Rasamsonia emersonii CBS 393.64,1408163,31.6,31.6,80%,30,75.00,1614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013329500.1?report=genbank&log$=prottop&blast_rank=14&RID=WEBZDD7A016"",""XP_013329500.1"")"
glycosyltransferase [Aquincola sp.],Aquincola sp.,Aquincola sp.,1872589,31.6,31.6,86%,30,66.67,420,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NJN00144.1?report=genbank&log$=prottop&blast_rank=15&RID=WEBZDD7A016"",""NJN00144.1"")"
asparaginase [Acidobacteria bacterium],Acidobacteria bacterium,Acidobacteria bacterium,1978231,31.6,31.6,80%,30,75.00,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MYN68034.1?report=genbank&log$=prottop&blast_rank=16&RID=WEBZDD7A016"",""MYN68034.1"")"
asparaginase [Acidobacteria bacterium],Acidobacteria bacterium,Acidobacteria bacterium,1978231,31.6,31.6,80%,30,75.00,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MYH31307.1?report=genbank&log$=prottop&blast_rank=17&RID=WEBZDD7A016"",""MYH31307.1"")"
asparaginase [Acidobacteria bacterium],Acidobacteria bacterium,Acidobacteria bacterium,1978231,31.6,31.6,80%,30,75.00,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MYD85038.1?report=genbank&log$=prottop&blast_rank=18&RID=WEBZDD7A016"",""MYD85038.1"")"
TonB-dependent receptor [Sphingobium sp. EM0848],Sphingobium sp. EM0848,Sphingobium sp. EM0848,2743473,31.2,31.2,53%,43,100.00,806,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_176593104.1?report=genbank&log$=prottop&blast_rank=19&RID=WEBZDD7A016"",""WP_176593104.1"")"
TonB-dependent receptor [Sphingobium sp.],Sphingobium sp.,Sphingobium sp.,1912891,31.2,31.2,53%,43,100.00,806,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PZU12146.1?report=genbank&log$=prottop&blast_rank=20&RID=WEBZDD7A016"",""PZU12146.1"")"
TonB-dependent receptor [Sphingobium sp. 15-1],Sphingobium sp. 15-1,Sphingobium sp. 15-1,2729616,31.2,31.2,53%,43,100.00,806,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_176598995.1?report=genbank&log$=prottop&blast_rank=21&RID=WEBZDD7A016"",""WP_176598995.1"")"
coenzyme F420-reducing hydrogenase subunit beta [Planctomycetes bacterium KOR34],Planctomycetes bacterium KOR34,Planctomycetes bacterium KOR34,1938618,31.2,31.2,53%,43,100.00,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TWT36715.1?report=genbank&log$=prottop&blast_rank=22&RID=WEBZDD7A016"",""TWT36715.1"")"
flagellar filament capping protein FliD [Bacteroidetes bacterium],Bacteroidetes bacterium,Bacteroidetes bacterium,1898104,31.2,31.2,93%,43,71.43,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NBC02027.1?report=genbank&log$=prottop&blast_rank=23&RID=WEBZDD7A016"",""NBC02027.1"")"
Uncharacterized protein CELE_F32B5.1 [Caenorhabditis elegans],Caenorhabditis elegans,Caenorhabditis elegans,6239,31.2,31.2,66%,43,80.00,427,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_491027.1?report=genbank&log$=prottop&blast_rank=24&RID=WEBZDD7A016"",""NP_491027.1"")"
RNA polymerase subunit sigma-24 [Verrucomicrobiales bacterium],Verrucomicrobiales bacterium,Verrucomicrobiales bacterium,2026801,31.2,31.2,93%,43,71.43,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBL67496.1?report=genbank&log$=prottop&blast_rank=25&RID=WEBZDD7A016"",""MBL67496.1"")"
hypothetical protein [Micromonospora matsumotoense],Micromonospora matsumotoense,Micromonospora matsumotoense,121616,31.2,31.2,73%,43,58.82,203,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_091240627.1?report=genbank&log$=prottop&blast_rank=26&RID=WEBZDD7A016"",""WP_091240627.1"")"
hypothetical protein [Rhodococcus ruber],Rhodococcus ruber,Rhodococcus ruber,1830,31.2,31.2,53%,43,100.00,201,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_064066378.1?report=genbank&log$=prottop&blast_rank=27&RID=WEBZDD7A016"",""WP_064066378.1"")"
flagellar filament capping protein FliD [Bacteroidetes bacterium],Bacteroidetes bacterium,Bacteroidetes bacterium,1898104,31.2,31.2,93%,43,71.43,103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NBB85059.1?report=genbank&log$=prottop&blast_rank=28&RID=WEBZDD7A016"",""NBB85059.1"")"
predicted protein [Micromonas pusilla CCMP1545],Micromonas pusilla CCMP1545,Micromonas pusilla CCMP1545,564608,30.8,30.8,66%,61,80.00,3352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003057824.1?report=genbank&log$=prottop&blast_rank=29&RID=WEBZDD7A016"",""XP_003057824.1"")"
granulocyte colony-stimulating factor receptor [Clarias magur],Clarias magur,Clarias magur,1594786,30.8,30.8,53%,61,100.00,1037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF5901443.1?report=genbank&log$=prottop&blast_rank=30&RID=WEBZDD7A016"",""KAF5901443.1"")"
CRISPR-associated helicase Cas3' [Exilibacterium tricleocarpae],Cellvibrionaceae bacterium R142,Cellvibrionaceae bacterium R142,2591008,30.8,30.8,53%,61,100.00,913,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TQV82471.1?report=genbank&log$=prottop&blast_rank=31&RID=WEBZDD7A016"",""TQV82471.1"")"
CRISPR-associated helicase Cas3' [Exilibacterium tricleocarpae],Cellvibrionaceae bacterium R142,Cellvibrionaceae bacterium R142,2591008,30.8,30.8,53%,61,100.00,908,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_179957527.1?report=genbank&log$=prottop&blast_rank=32&RID=WEBZDD7A016"",""WP_179957527.1"")"
TPA: hypothetical protein [Chloroflexi bacterium],Chloroflexi bacterium,Chloroflexi bacterium,2026724,30.8,61.5,80%,61,45.83,729,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGE87197.1?report=genbank&log$=prottop&blast_rank=33&RID=WEBZDD7A016"",""HGE87197.1"")"
hypothetical protein FQN60_017138 [Etheostoma spectabile],Etheostoma spectabile,orangethroat darter,54343,30.8,30.8,53%,61,100.00,728,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAA8591764.1?report=genbank&log$=prottop&blast_rank=34&RID=WEBZDD7A016"",""KAA8591764.1"")"
lipase-like PAD4 [Tripterygium wilfordii],Tripterygium wilfordii,Tripterygium wilfordii,458696,30.8,30.8,86%,61,55.56,627,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF5727611.1?report=genbank&log$=prottop&blast_rank=35&RID=WEBZDD7A016"",""KAF5727611.1"")"
hypothetical protein D187_003184 [Cystobacter fuscus DSM 2262],Cystobacter fuscus DSM 2262,Cystobacter fuscus DSM 2262,1242864,30.8,30.8,60%,61,88.89,586,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EPX59280.1?report=genbank&log$=prottop&blast_rank=36&RID=WEBZDD7A016"",""EPX59280.1"")"
DUF4231 domain-containing protein [Cystobacter fuscus],Cystobacter fuscus,Cystobacter fuscus,43,30.8,30.8,60%,61,88.89,580,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_051256600.1?report=genbank&log$=prottop&blast_rank=37&RID=WEBZDD7A016"",""WP_051256600.1"")"
DUF4231 domain-containing protein [Cystobacter ferrugineus],Cystobacter ferrugineus,Cystobacter ferrugineus,83449,30.8,30.8,60%,61,88.89,580,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_071902977.1?report=genbank&log$=prottop&blast_rank=38&RID=WEBZDD7A016"",""WP_071902977.1"")"
lipase-like PAD4 [Senna tora],Senna tora,Senna tora,362788,30.8,30.8,86%,61,61.11,540,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF7840142.1?report=genbank&log$=prottop&blast_rank=39&RID=WEBZDD7A016"",""KAF7840142.1"")"
"putative 33 kDa inner dynein arm light chain, axonemal [Trypanosoma cruzi]",Trypanosoma cruzi,Trypanosoma cruzi,5693,30.8,30.8,86%,61,58.82,394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RNF23882.1?report=genbank&log$=prottop&blast_rank=40&RID=WEBZDD7A016"",""RNF23882.1"")"
hypothetical protein [Deltaproteobacteria bacterium],Deltaproteobacteria bacterium,Deltaproteobacteria bacterium,2026735,30.8,30.8,60%,61,88.89,381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NOY69677.1?report=genbank&log$=prottop&blast_rank=41&RID=WEBZDD7A016"",""NOY69677.1"")"
"33 kDa inner dynein arm light chain, axonemal, putative [Trypanosoma cruzi]",Trypanosoma cruzi,Trypanosoma cruzi,5693,30.8,30.8,86%,61,58.82,365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EKF99031.1?report=genbank&log$=prottop&blast_rank=42&RID=WEBZDD7A016"",""EKF99031.1"")"
"33 kDa inner dynein arm light chain, axonemal [Trypanosoma cruzi strain CL Brener]",Trypanosoma cruzi strain CL Brener,Trypanosoma cruzi strain CL Brener,353153,30.8,30.8,86%,61,58.82,365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_808209.1?report=genbank&log$=prottop&blast_rank=43&RID=WEBZDD7A016"",""XP_808209.1"")"
"33 kDa inner dynein arm light chain, axonemal [Trypanosoma cruzi strain CL Brener]",Trypanosoma cruzi strain CL Brener,Trypanosoma cruzi strain CL Brener,353153,30.8,30.8,86%,61,58.82,365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_816429.1?report=genbank&log$=prottop&blast_rank=44&RID=WEBZDD7A016"",""XP_816429.1"")"
hypothetical protein ECC02_003930 [Trypanosoma cruzi],Trypanosoma cruzi,Trypanosoma cruzi,5693,30.8,30.8,86%,61,58.82,365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF5223103.1?report=genbank&log$=prottop&blast_rank=45&RID=WEBZDD7A016"",""KAF5223103.1"")"
33 kDa inner dynein arm light chain [Trypanosoma cruzi Dm28c],Trypanosoma cruzi Dm28c,Trypanosoma cruzi Dm28c,1416333,30.8,30.8,86%,61,58.82,365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ESS70000.1?report=genbank&log$=prottop&blast_rank=46&RID=WEBZDD7A016"",""ESS70000.1"")"
"PREDICTED: 28S ribosomal protein S15, mitochondrial [Hippocampus comes]",Hippocampus comes,tiger tail seahorse,109280,30.8,30.8,53%,61,100.00,348,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019720874.1?report=genbank&log$=prottop&blast_rank=47&RID=WEBZDD7A016"",""XP_019720874.1"")"
TPA: hypothetical protein [Nitrospinae bacterium],Nitrospinae bacterium,Nitrospinae bacterium,2026769,30.8,30.8,86%,61,68.75,332,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBK79532.1?report=genbank&log$=prottop&blast_rank=48&RID=WEBZDD7A016"",""HBK79532.1"")"
hypothetical protein HF521_017776 [Silurus meridionalis],Silurus meridionalis,Silurus meridionalis,175797,30.8,30.8,53%,61,100.00,329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF7708719.1?report=genbank&log$=prottop&blast_rank=49&RID=WEBZDD7A016"",""KAF7708719.1"")"
TPA: hypothetical protein [Nitrososphaeria archaeon],Nitrososphaeria archaeon,Nitrososphaeria archaeon,2268198,30.8,30.8,66%,61,80.00,314,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHS66192.1?report=genbank&log$=prottop&blast_rank=50&RID=WEBZDD7A016"",""HHS66192.1"")"
type II secretion system F family protein [Duganella sp. FT27W],Duganella sp. FT27W,Duganella sp. FT27W,2654636,30.8,30.8,80%,61,57.89,310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_152883261.1?report=genbank&log$=prottop&blast_rank=51&RID=WEBZDD7A016"",""WP_152883261.1"")"
hypothetical protein [Vespula vulgaris],Vespula vulgaris,Vespula vulgaris,7454,30.8,30.8,60%,61,88.89,295,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF7396213.1?report=genbank&log$=prottop&blast_rank=52&RID=WEBZDD7A016"",""KAF7396213.1"")"
"28S ribosomal protein S15, mitochondrial isoform X1 [Tachysurus fulvidraco]",Tachysurus fulvidraco,yellow catfish,1234273,30.8,30.8,53%,61,100.00,289,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_027005574.1?report=genbank&log$=prottop&blast_rank=53&RID=WEBZDD7A016"",""XP_027005574.1"")"
"28S ribosomal protein S15, mitochondrial [Takifugu flavidus]",Takifugu flavidus,sansaifugu,433684,30.8,30.8,53%,61,100.00,283,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TWW80057.1?report=genbank&log$=prottop&blast_rank=54&RID=WEBZDD7A016"",""TWW80057.1"")"
"28S ribosomal protein S15, mitochondrial isoform X1 [Archocentrus centrarchus]",Archocentrus centrarchus,flier cichlid,63155,30.8,30.8,53%,61,100.00,276,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030606028.1?report=genbank&log$=prottop&blast_rank=55&RID=WEBZDD7A016"",""XP_030606028.1"")"
"28S ribosomal protein S15, mitochondrial [Larimichthys crocea]",Larimichthys crocea,large yellow croaker,215358,30.8,30.8,53%,61,100.00,270,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TMS10479.1?report=genbank&log$=prottop&blast_rank=56&RID=WEBZDD7A016"",""TMS10479.1"")"
"28S ribosomal protein S15, mitochondrial isoform X2 [Tachysurus fulvidraco]",Tachysurus fulvidraco,yellow catfish,1234273,30.8,30.8,53%,61,100.00,267,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_027005575.1?report=genbank&log$=prottop&blast_rank=57&RID=WEBZDD7A016"",""XP_027005575.1"")"
