Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Chain A, Receptor-type tyrosine-protein phosphatase S,Spike glycoprotein,Fibritin [Gallus gallus]",Gallus gallus,chicken,9031,52.8,52.8,100%,9e-07,100.00,1287,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/6ZGH_A?report=genbank&log$=prottop&blast_rank=1&RID=WC7BFNZG013"",""6ZGH_A"")"
spike [synthetic construct],synthetic construct,synthetic construct,32630,52.8,52.8,100%,9e-07,100.00,1273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIG55857.1?report=genbank&log$=prottop&blast_rank=2&RID=WC7BFNZG013"",""QIG55857.1"")"
SARS_CoV_2_ectoCSPP [synthetic construct],synthetic construct,synthetic construct,32630,52.8,52.8,100%,9e-07,100.00,1256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJE37812.1?report=genbank&log$=prottop&blast_rank=3&RID=WC7BFNZG013"",""QJE37812.1"")"
SARS CoV-2 spike protein receptor binding domain [synthetic construct],synthetic construct,synthetic construct,32630,52.8,52.8,100%,9e-07,100.00,581,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKY12177.1?report=genbank&log$=prottop&blast_rank=4&RID=WC7BFNZG013"",""QKY12177.1"")"
SpyTag/RBD fusion protein [synthetic construct],synthetic construct,synthetic construct,32630,52.8,52.8,100%,9e-07,100.00,247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNS17503.1?report=genbank&log$=prottop&blast_rank=5&RID=WC7BFNZG013"",""QNS17503.1"")"
SARS_CoV_2RBD_his [synthetic construct],synthetic construct,synthetic construct,32630,52.8,52.8,100%,9e-07,100.00,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJE37811.1?report=genbank&log$=prottop&blast_rank=6&RID=WC7BFNZG013"",""QJE37811.1"")"
spike glycoprotein [recombinant coronavirus],recombinant coronavirus,recombinant coronavirus,575864,47.3,47.3,86%,8e-05,100.00,1242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60694.1?report=genbank&log$=prottop&blast_rank=7&RID=WC7BFNZG013"",""ACJ60694.1"")"
spike glycoprotein [recombinant coronavirus],recombinant coronavirus,recombinant coronavirus,575864,44.3,44.3,80%,0.001,100.00,1259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60703.1?report=genbank&log$=prottop&blast_rank=8&RID=WC7BFNZG013"",""ACJ60703.1"")"
spike glycoprotein [recombinant SARS coronavirus],recombinant SARS coronavirus,recombinant SARS coronavirus,575560,44.3,44.3,80%,0.001,100.00,1255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60681.1?report=genbank&log$=prottop&blast_rank=9&RID=WC7BFNZG013"",""ACJ60681.1"")"
SARS CoV S protein [Expression vector pHCMV-SARS-S (FFM-1)],Expression vector pHCMV-SARS-S (FFM-1),Expression vector pHCMV-SARS-S (FFM-1),268479,44.3,44.3,80%,0.001,100.00,1255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS75868.1?report=genbank&log$=prottop&blast_rank=10&RID=WC7BFNZG013"",""AAS75868.1"")"
spike S [synthetic construct],synthetic construct,synthetic construct,32630,44.3,44.3,80%,0.001,100.00,1255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABY85258.1?report=genbank&log$=prottop&blast_rank=11&RID=WC7BFNZG013"",""ABY85258.1"")"
SARS CoV-1 spike protein receptor binding domain [synthetic construct],synthetic construct,synthetic construct,32630,44.3,44.3,80%,0.001,100.00,580,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKY12178.1?report=genbank&log$=prottop&blast_rank=12&RID=WC7BFNZG013"",""QKY12178.1"")"
truncated SARS coronavirus spike glycoprotein S1 subunit [Expression vector pShuttle-SN],Expression vector pShuttle-SN,Expression vector pShuttle-SN,308969,44.3,44.3,80%,0.001,100.00,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAW56614.1?report=genbank&log$=prottop&blast_rank=13&RID=WC7BFNZG013"",""AAW56614.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Bacteroides sp.],Bacteroides sp.,Bacteroides sp.,29523,36.3,36.3,80%,0.66,83.33,415,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD5284961.1?report=genbank&log$=prottop&blast_rank=14&RID=WC7BFNZG013"",""MBD5284961.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [uncultured Bacteroides sp.],uncultured Bacteroides sp.,uncultured Bacteroides sp.,162156,35.4,35.4,80%,1.3,83.33,405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SCI12765.1?report=genbank&log$=prottop&blast_rank=15&RID=WC7BFNZG013"",""SCI12765.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Bacteroides mediterraneensis],Bacteroides mediterraneensis,Bacteroides mediterraneensis,1841856,35.4,35.4,80%,1.3,83.33,405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072541768.1?report=genbank&log$=prottop&blast_rank=16&RID=WC7BFNZG013"",""WP_072541768.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Bacteroides ilei],Bacteroides ilei,Bacteroides ilei,1907658,35.4,35.4,80%,1.3,83.33,405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072531979.1?report=genbank&log$=prottop&blast_rank=17&RID=WC7BFNZG013"",""WP_072531979.1"")"
flagellar biosynthetic protein FliR [Verrucomicrobia subdivision 3 bacterium],Verrucomicrobia subdivision 3 bacterium,Verrucomicrobia subdivision 3 bacterium,2052186,35.4,35.4,80%,1.3,83.33,256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC8326782.1?report=genbank&log$=prottop&blast_rank=18&RID=WC7BFNZG013"",""MBC8326782.1"")"
S-adenosylmethionine tRNA ribosyltransferase [Bacteroidetes bacterium 4572_112],Bacteroidetes bacterium 4572_112,Bacteroidetes bacterium 4572_112,1971630,35.0,35.0,73%,1.9,90.91,406,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OYT12443.1?report=genbank&log$=prottop&blast_rank=19&RID=WC7BFNZG013"",""OYT12443.1"")"
hypothetical protein [Marivirga lumbricoides],Marivirga lumbricoides,Marivirga lumbricoides,1046115,34.6,34.6,73%,2.7,90.91,1363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_188460157.1?report=genbank&log$=prottop&blast_rank=20&RID=WC7BFNZG013"",""WP_188460157.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Bacteroidetes bacterium ADurb.BinA174],Bacteroidetes bacterium ADurb.BinA174,Bacteroidetes bacterium ADurb.BinA174,1852817,34.1,34.1,73%,3.8,81.82,407,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OPZ28855.1?report=genbank&log$=prottop&blast_rank=21&RID=WC7BFNZG013"",""OPZ28855.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Bacteroidetes bacterium],Bacteroidetes bacterium,Bacteroidetes bacterium,1898104,34.1,34.1,80%,3.8,75.00,405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NQU33358.1?report=genbank&log$=prottop&blast_rank=22&RID=WC7BFNZG013"",""NQU33358.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Dysgonomonas hofstadii],Dysgonomonas hofstadii,Dysgonomonas hofstadii,637886,33.7,33.7,73%,5.3,81.82,451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_183307394.1?report=genbank&log$=prottop&blast_rank=23&RID=WC7BFNZG013"",""WP_183307394.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Prevotella copri],Prevotella copri,Prevotella copri,165179,33.7,33.7,80%,5.3,75.00,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_144154275.1?report=genbank&log$=prottop&blast_rank=24&RID=WC7BFNZG013"",""WP_144154275.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Prevotella sp. AM23-5],Prevotella sp. AM23-5,Prevotella sp. AM23-5,2292054,33.7,33.7,80%,5.3,75.00,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_118311054.1?report=genbank&log$=prottop&blast_rank=25&RID=WC7BFNZG013"",""WP_118311054.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Prevotella copri],Prevotella copri,Prevotella copri,165179,33.7,33.7,80%,5.3,75.00,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_153113725.1?report=genbank&log$=prottop&blast_rank=26&RID=WC7BFNZG013"",""WP_153113725.1"")"
TPA: S-adenosylmethionine tRNA ribosyltransferase [Prevotella sp.],Prevotella sp.,Prevotella sp.,59823,33.7,33.7,80%,5.3,75.00,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBI98385.1?report=genbank&log$=prottop&blast_rank=27&RID=WC7BFNZG013"",""HBI98385.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Prevotella copri],Prevotella copri,Prevotella copri,165179,33.7,33.7,80%,5.3,75.00,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RHK48532.1?report=genbank&log$=prottop&blast_rank=28&RID=WC7BFNZG013"",""RHK48532.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Prevotella copri],Prevotella copri,Prevotella copri,165179,33.7,33.7,80%,5.3,75.00,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD9087385.1?report=genbank&log$=prottop&blast_rank=29&RID=WC7BFNZG013"",""MBD9087385.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Prevotella copri],Prevotella copri,Prevotella copri,165179,33.7,33.7,80%,5.3,75.00,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_118254729.1?report=genbank&log$=prottop&blast_rank=30&RID=WC7BFNZG013"",""WP_118254729.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Prevotella copri],Prevotella copri,Prevotella copri,165179,33.7,33.7,80%,5.3,75.00,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_153092261.1?report=genbank&log$=prottop&blast_rank=31&RID=WC7BFNZG013"",""WP_153092261.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Prevotella copri],Prevotella copri,Prevotella copri,165179,33.7,33.7,80%,5.3,75.00,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_006846679.1?report=genbank&log$=prottop&blast_rank=32&RID=WC7BFNZG013"",""WP_006846679.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Prevotella copri],Prevotella copri,Prevotella copri,165179,33.7,33.7,80%,5.3,75.00,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_118201078.1?report=genbank&log$=prottop&blast_rank=33&RID=WC7BFNZG013"",""WP_118201078.1"")"
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [Prevotella copri],Prevotella copri,Prevotella copri,165179,33.7,33.7,80%,5.3,75.00,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_118080383.1?report=genbank&log$=prottop&blast_rank=34&RID=WC7BFNZG013"",""WP_118080383.1"")"
