Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Chain A, Receptor-type tyrosine-protein phosphatase S,Spike glycoprotein,Fibritin [Gallus gallus]",Gallus gallus,chicken,9031,49.0,49.0,100%,2e-05,100.00,1287,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/6ZGH_A?report=genbank&log$=prottop&blast_rank=1&RID=WC6PK37S016"",""6ZGH_A"")"
spike [synthetic construct],synthetic construct,synthetic construct,32630,49.0,49.0,100%,2e-05,100.00,1273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIG55857.1?report=genbank&log$=prottop&blast_rank=2&RID=WC6PK37S016"",""QIG55857.1"")"
SARS_CoV_2_ectoCSPP [synthetic construct],synthetic construct,synthetic construct,32630,49.0,49.0,100%,2e-05,100.00,1256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJE37812.1?report=genbank&log$=prottop&blast_rank=3&RID=WC6PK37S016"",""QJE37812.1"")"
bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase [Microbacterium album],Microbacterium album,Microbacterium album,2053191,34.1,34.1,73%,3.8,90.91,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_188756956.1?report=genbank&log$=prottop&blast_rank=4&RID=WC6PK37S016"",""WP_188756956.1"")"
hypothetical protein GCM10010921_28050 [Microbacterium album],Microbacterium album,Microbacterium album,2053191,34.1,34.1,73%,3.8,90.91,496,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GGH49755.1?report=genbank&log$=prottop&blast_rank=5&RID=WC6PK37S016"",""GGH49755.1"")"
phosphoribosylformylglycinamidine cyclo-ligase [Chloroflexaceae bacterium],Chloroflexaceae bacterium,Chloroflexaceae bacterium,2562117,34.1,34.1,73%,3.8,90.91,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NJP06017.1?report=genbank&log$=prottop&blast_rank=6&RID=WC6PK37S016"",""NJP06017.1"")"
TPA: phosphoribosylformylglycinamidine cyclo-ligase [Acidobacteria bacterium],Acidobacteria bacterium,Acidobacteria bacterium,1978231,34.1,34.1,73%,3.8,90.91,216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCG37054.1?report=genbank&log$=prottop&blast_rank=7&RID=WC6PK37S016"",""HCG37054.1"")"
hypothetical protein D9611_011907 [Coprinellus angulatus],Coprinellus angulatus,Coprinellus angulatus,980116,32.0,32.0,93%,21,78.57,425,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF5331434.1?report=genbank&log$=prottop&blast_rank=8&RID=WC6PK37S016"",""KAF5331434.1"")"
hypothetical protein D6C80_01513 [Aureobasidium pullulans],Aureobasidium pullulans,Aureobasidium pullulans,5580,32.0,32.0,60%,21,100.00,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TIA21935.1?report=genbank&log$=prottop&blast_rank=9&RID=WC6PK37S016"",""TIA21935.1"")"
hypothetical protein D6C91_09673 [Aureobasidium pullulans],Aureobasidium pullulans,Aureobasidium pullulans,5580,32.0,32.0,60%,21,100.00,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/THZ10557.1?report=genbank&log$=prottop&blast_rank=10&RID=WC6PK37S016"",""THZ10557.1"")"
hypothetical protein D6D19_08577 [Aureobasidium pullulans],Aureobasidium pullulans,Aureobasidium pullulans,5580,32.0,32.0,60%,21,100.00,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/THW69115.1?report=genbank&log$=prottop&blast_rank=11&RID=WC6PK37S016"",""THW69115.1"")"
hypothetical protein D6D18_02939 [Aureobasidium pullulans],Aureobasidium pullulans,Aureobasidium pullulans,5580,32.0,32.0,60%,21,100.00,333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/THX06102.1?report=genbank&log$=prottop&blast_rank=12&RID=WC6PK37S016"",""THX06102.1"")"
hypothetical protein D6C76_04410 [Aureobasidium pullulans],Aureobasidium pullulans,Aureobasidium pullulans,5580,32.0,32.0,60%,21,100.00,333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TIA77883.1?report=genbank&log$=prottop&blast_rank=13&RID=WC6PK37S016"",""TIA77883.1"")"
hypothetical protein D6C89_04724 [Aureobasidium pullulans],Aureobasidium pullulans,Aureobasidium pullulans,5580,32.0,32.0,60%,21,100.00,333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/THZ24797.1?report=genbank&log$=prottop&blast_rank=14&RID=WC6PK37S016"",""THZ24797.1"")"
