Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ORF1ab [synthetic construct],synthetic construct,synthetic construct,32630,51.5,51.5,100%,3e-06,100.00,7096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIG55856.1?report=genbank&log$=prottop&blast_rank=1&RID=WC88DCZ5013"",""QIG55856.1"")"
polyprotein [recombinant SARS coronavirus],recombinant SARS coronavirus,recombinant SARS coronavirus,575560,51.5,51.5,100%,3e-06,100.00,7073,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60680.1?report=genbank&log$=prottop&blast_rank=2&RID=WC88DCZ5013"",""ACJ60680.1"")"
replicase 1B [recombinant coronavirus],recombinant coronavirus,recombinant coronavirus,575864,49.0,49.0,100%,2e-05,93.33,2695,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60702.1?report=genbank&log$=prottop&blast_rank=3&RID=WC88DCZ5013"",""ACJ60702.1"")"
aconitate hydratase [Spirosoma sp. CJU-R4],Spirosoma sp. CJU-R4,Spirosoma sp. CJU-R4,2728024,36.3,36.3,80%,0.66,91.67,762,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_169551096.1?report=genbank&log$=prottop&blast_rank=4&RID=WC88DCZ5013"",""WP_169551096.1"")"
aconitate hydratase [Spirosoma sp. BT702],Spirosoma sp. BT702,Spirosoma sp. BT702,2771354,36.3,36.3,80%,0.66,91.67,760,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190890589.1?report=genbank&log$=prottop&blast_rank=5&RID=WC88DCZ5013"",""WP_190890589.1"")"
aconitate hydratase [Spirosoma agri],Spirosoma agri,Spirosoma agri,1987381,36.3,36.3,80%,0.66,91.67,760,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_164035647.1?report=genbank&log$=prottop&blast_rank=6&RID=WC88DCZ5013"",""WP_164035647.1"")"
aconitate hydratase [Spirosoma endophyticum],Spirosoma endophyticum,Spirosoma endophyticum,662367,36.3,36.3,80%,0.66,91.67,760,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_093822541.1?report=genbank&log$=prottop&blast_rank=7&RID=WC88DCZ5013"",""WP_093822541.1"")"
aconitate hydratase [Spirosoma oryzae],Spirosoma oryzae,Spirosoma oryzae,1469603,36.3,36.3,80%,0.66,91.67,757,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_106138593.1?report=genbank&log$=prottop&blast_rank=8&RID=WC88DCZ5013"",""WP_106138593.1"")"
aconitate hydratase [Spirosoma sp. BT704],Spirosoma sp. BT704,Spirosoma sp. BT704,2771355,36.3,36.3,80%,0.66,91.67,755,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_191040067.1?report=genbank&log$=prottop&blast_rank=9&RID=WC88DCZ5013"",""WP_191040067.1"")"
aconitate hydratase [Spirosoma linguale DSM 74],Spirosoma linguale DSM 74,Spirosoma linguale DSM 74,504472,36.3,36.3,80%,0.66,91.67,755,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADB38070.1?report=genbank&log$=prottop&blast_rank=10&RID=WC88DCZ5013"",""ADB38070.1"")"
